Trial,Arena,Time bin,Distance moved Center-point Total m,Velocity Center-point Mean m/s
Trial     1,Arena 2,0:00:26-0:00:28,0.0159517,0.00797586
Trial     1,Arena 2,0:00:28-0:00:30,0.0225584,0.0112792
Trial     1,Arena 2,0:00:30-0:00:32,0.00788311,0.00394156
Trial     1,Arena 2,0:00:32-0:00:34,0.000141563,7.07816E-05
Trial     1,Arena 2,0:00:34-0:00:36,0.000058389,2.91945E-05
Trial     1,Arena 2,0:00:36-0:00:38,0.000119838,5.99189E-05
Trial     1,Arena 2,0:00:38-0:00:40,0.00268967,0.00134484
Trial     1,Arena 2,0:00:40-0:00:42,6.35955E-05,3.17977E-05
Trial     1,Arena 2,0:00:42-0:00:44,0.000586159,0.00029308
Trial     1,Arena 2,0:00:44-0:00:46,0.000592084,0.000296042
Trial     1,Arena 2,0:00:46-0:00:48,0.000135842,0.000067921
Trial     1,Arena 2,0:00:48-0:00:50,7.64875E-05,3.82437E-05
Trial     1,Arena 2,0:00:50-0:00:52,6.80489E-05,3.40245E-05
Trial     1,Arena 2,0:00:52-0:00:54,9.99435E-05,4.99717E-05
Trial     1,Arena 2,0:00:54-0:00:56,0.000119445,5.97225E-05
Trial     1,Arena 2,0:00:56-0:00:58,6.42423E-05,3.21212E-05
Trial     1,Arena 2,0:00:58-0:01:00,0.000164905,8.24524E-05
Trial     1,Arena 2,0:01:00-0:01:02,6.58803E-05,3.29401E-05
Trial     1,Arena 2,0:01:02-0:01:04,0.000120226,6.01131E-05
Trial     1,Arena 2,0:01:04-0:01:06,7.98142E-05,3.99071E-05
Trial     1,Arena 2,0:01:06-0:01:08,0.000100967,5.04835E-05
Trial     1,Arena 2,0:01:08-0:01:10,0.000168769,8.43845E-05
Trial     1,Arena 2,0:01:10-0:01:12,0.000133144,6.65718E-05
Trial     1,Arena 2,0:01:12-0:01:14,9.56031E-05,4.78015E-05
Trial     1,Arena 2,0:01:14-0:01:16,9.84858E-05,4.92429E-05
Trial     1,Arena 2,0:01:16-0:01:18,5.29466E-05,2.64733E-05
Trial     1,Arena 2,0:01:18-0:01:20,6.11072E-05,3.05536E-05
Trial     1,Arena 2,0:01:20-0:01:22,8.48227E-05,4.24114E-05
Trial     1,Arena 2,0:01:22-0:01:24,6.74956E-05,3.37478E-05
Trial     1,Arena 2,0:01:24-0:01:26,9.42162E-05,4.71081E-05
Trial     1,Arena 2,0:01:26-0:01:28,7.86656E-05,3.93328E-05
Trial     1,Arena 2,0:01:28-0:01:30,0.000087883,4.39415E-05
Trial     1,Arena 2,0:01:30-0:01:32,0.000152169,7.60843E-05
Trial     1,Arena 2,0:01:32-0:01:34,7.03369E-05,3.51684E-05
Trial     1,Arena 2,0:01:34-0:01:36,5.56962E-05,2.78481E-05
Trial     1,Arena 2,0:01:36-0:01:38,0.000132652,6.63262E-05
Trial     1,Arena 2,0:01:38-0:01:40,0.000101769,5.08846E-05
Trial     1,Arena 2,0:01:40-0:01:42,7.82915E-05,3.91458E-05
Trial     1,Arena 2,0:01:42-0:01:44,7.04499E-05,0.000035225
Trial     1,Arena 2,0:01:44-0:01:46,6.17194E-05,3.08597E-05
Trial     1,Arena 2,0:01:46-0:01:48,8.59716E-05,4.29858E-05
Trial     1,Arena 2,0:01:48-0:01:50,0.000110702,5.53509E-05
Trial     1,Arena 2,0:01:50-0:01:52,0.000119649,5.98243E-05
Trial     1,Arena 2,0:01:52-0:01:54,9.87878E-05,4.93939E-05
Trial     1,Arena 2,0:01:54-0:01:56,0.000121051,6.05253E-05
Trial     1,Arena 2,0:01:56-0:01:58,0.00012217,6.10851E-05
Trial     1,Arena 2,0:01:58-0:02:00,0.000100671,5.03355E-05
Trial     1,Arena 2,0:02:00-0:02:02,1.73727E-05,3.47453E-05
Trial     1,Arena 3,0:00:00-0:00:02,6.27752E-05,0.00012555
Trial     1,Arena 3,0:00:02-0:00:04,0.000414906,0.000207453
Trial     1,Arena 3,0:00:04-0:00:06,0.000544477,0.000272238
Trial     1,Arena 3,0:00:06-0:00:08,0.00128366,0.000641831
Trial     1,Arena 3,0:00:08-0:00:10,0.00071655,0.000358275
Trial     1,Arena 3,0:00:10-0:00:12,0.00040772,0.00020386
Trial     1,Arena 3,0:00:12-0:00:14,0.000644409,0.000322204
Trial     1,Arena 3,0:00:14-0:00:16,0.000754226,0.000377113
Trial     1,Arena 3,0:00:16-0:00:18,0.000380156,0.000190078
Trial     1,Arena 3,0:00:18-0:00:20,0.0092526,0.0046263
Trial     1,Arena 3,0:00:20-0:00:22,0.000588074,0.000294037
Trial     1,Arena 3,0:00:22-0:00:24,0.000399438,0.000199719
Trial     1,Arena 3,0:00:24-0:00:26,0.000271191,0.000135596
Trial     1,Arena 3,0:00:26-0:00:28,0.000771859,0.00038593
Trial     1,Arena 3,0:00:28-0:00:30,0.000259421,0.00012971
Trial     1,Arena 3,0:00:30-0:00:32,0.000718001,0.000359001
Trial     1,Arena 3,0:00:32-0:00:34,0.00149775,0.000748873
Trial     1,Arena 3,0:00:34-0:00:36,0.00237108,0.00118554
Trial     1,Arena 3,0:00:36-0:00:38,0.000438785,0.000219392
Trial     1,Arena 3,0:00:38-0:00:40,0.0027819,0.00139095
Trial     1,Arena 3,0:00:40-0:00:42,0.00101293,0.000506464
Trial     1,Arena 3,0:00:42-0:00:44,0.00143181,0.000715907
Trial     1,Arena 3,0:00:44-0:00:46,8.29239E-05,0.000041462
Trial     1,Arena 3,0:00:46-0:00:48,0.000761473,0.000380736
Trial     1,Arena 3,0:00:48-0:00:50,0.000136027,6.80137E-05
Trial     1,Arena 3,0:00:50-0:00:52,0.00121749,0.000608746
Trial     1,Arena 3,0:00:52-0:00:54,4.58641E-05,0.000022932
Trial     1,Arena 3,0:00:54-0:00:56,0.00399499,0.0019975
Trial     1,Arena 3,0:00:56-0:00:58,0.000197146,0.000098573
Trial     1,Arena 3,0:00:58-0:01:00,0.00121208,0.000606038
Trial     1,Arena 3,0:01:00-0:01:02,0.000081161,4.05805E-05
Trial     1,Arena 3,0:01:02-0:01:04,0.00157373,0.000786865
Trial     1,Arena 3,0:01:04-0:01:06,0.000993711,0.000496855
Trial     1,Arena 3,0:01:06-0:01:08,0.000387208,0.000193604
Trial     1,Arena 3,0:01:08-0:01:10,0.00362799,0.001814
Trial     1,Arena 3,0:01:10-0:01:12,0.000594149,0.000297074
Trial     1,Arena 3,0:01:12-0:01:14,0.000697363,0.000348682
Trial     1,Arena 3,0:01:14-0:01:16,8.60554E-05,4.30277E-05
Trial     1,Arena 3,0:01:16-0:01:18,0.000058794,0.000029397
Trial     1,Arena 3,0:01:18-0:01:20,0.000124801,6.24005E-05
Trial     1,Arena 3,0:01:20-0:01:22,0.000680553,0.000340277
Trial     1,Arena 3,0:01:22-0:01:24,9.24182E-05,4.62091E-05
Trial     1,Arena 3,0:01:24-0:01:26,0.000123968,6.19839E-05
Trial     1,Arena 3,0:01:26-0:01:28,0.000117901,5.89506E-05
Trial     1,Arena 3,0:01:28-0:01:30,7.22606E-05,3.61303E-05
Trial     1,Arena 3,0:01:30-0:01:32,7.59604E-05,3.79802E-05
Trial     1,Arena 3,0:01:32-0:01:34,0.000196602,9.83012E-05
Trial     1,Arena 3,0:01:34-0:01:36,0.00176647,0.000883236
Trial     1,Arena 3,0:01:36-0:01:38,0.000222602,0.000111301
Trial     1,Arena 3,0:01:38-0:01:40,0.000101498,0.000050749
Trial     1,Arena 3,0:01:40-0:01:42,8.37898E-05,4.18949E-05
Trial     1,Arena 3,0:01:42-0:01:44,0.000144994,7.24972E-05
Trial     1,Arena 3,0:01:44-0:01:46,9.75819E-05,4.87909E-05
Trial     1,Arena 3,0:01:46-0:01:48,6.24029E-05,3.12015E-05
Trial     1,Arena 3,0:01:48-0:01:50,0.000115329,5.76647E-05
Trial     1,Arena 3,0:01:50-0:01:52,9.62958E-05,4.81479E-05
Trial     1,Arena 3,0:01:52-0:01:54,0.000125476,6.27381E-05
Trial     1,Arena 3,0:01:54-0:01:56,3.40835E-05,1.70417E-05
Trial     1,Arena 3,0:01:56-0:01:58,0.000066936,0.000033468
Trial     1,Arena 3,0:01:58-0:02:00,0.000098233,4.91165E-05
Trial     1,Arena 3,0:02:00-0:02:02,1.23143E-05,2.46286E-05
Trial     1,Arena 4,0:00:00-0:00:02,2.31763E-05,4.63527E-05
Trial     1,Arena 4,0:00:02-0:00:04,8.29027E-05,4.14513E-05
Trial     1,Arena 4,0:00:04-0:00:06,9.32385E-05,4.66192E-05
Trial     1,Arena 4,0:00:06-0:00:08,0.000660849,0.000330424
Trial     1,Arena 4,0:00:08-0:00:10,7.94242E-05,3.97121E-05
Trial     1,Arena 4,0:00:10-0:00:12,8.96468E-05,4.48234E-05
Trial     1,Arena 4,0:00:12-0:00:14,0.00011118,5.55899E-05
Trial     1,Arena 4,0:00:14-0:00:16,0.000106835,5.34175E-05
Trial     1,Arena 4,0:00:16-0:00:18,0.000110377,5.51884E-05
Trial     1,Arena 4,0:00:18-0:00:20,8.34481E-05,0.000041724
Trial     1,Arena 4,0:00:20-0:00:22,0.00136777,0.000683886
Trial     1,Arena 4,0:00:22-0:00:24,9.28141E-05,4.64071E-05
Trial     1,Arena 4,0:00:24-0:00:26,0.000060145,3.00725E-05
Trial     1,Arena 4,0:00:26-0:00:28,0.000059522,0.000029761
Trial     1,Arena 4,0:00:28-0:00:30,4.81427E-05,2.40713E-05
Trial     1,Arena 4,0:00:30-0:00:32,8.66269E-05,4.33134E-05
Trial     1,Arena 4,0:00:32-0:00:34,0.00054084,0.00027042
Trial     1,Arena 4,0:00:34-0:00:36,9.09109E-05,4.54555E-05
Trial     1,Arena 4,0:00:36-0:00:38,0.000712263,0.000356131
Trial     1,Arena 4,0:00:38-0:00:40,0.00170079,0.000850393
Trial     1,Arena 4,0:00:40-0:00:42,0.0014685,0.000734248
Trial     1,Arena 4,0:00:42-0:00:44,0.00158835,0.000794174
Trial     1,Arena 4,0:00:44-0:00:46,0.000781248,0.000390624
Trial     1,Arena 4,0:00:46-0:00:48,0.000497589,0.000248795
Trial     1,Arena 4,0:00:48-0:00:50,0.000488183,0.000244091
Trial     1,Arena 4,0:00:50-0:00:52,0.00111905,0.000559523
Trial     1,Arena 4,0:00:52-0:00:54,0.000138392,6.91962E-05
Trial     1,Arena 4,0:00:54-0:00:56,0.00224067,0.00112033
Trial     1,Arena 4,0:00:56-0:00:58,0.0002894,0.0001447
Trial     1,Arena 4,0:00:58-0:01:00,0.000453266,0.000226633
Trial     1,Arena 4,0:01:00-0:01:02,0.000644342,0.000322171
Trial     1,Arena 4,0:01:02-0:01:04,8.23538E-05,4.11769E-05
Trial     1,Arena 4,0:01:04-0:01:06,0.000110377,5.51886E-05
Trial     1,Arena 4,0:01:06-0:01:08,8.90125E-05,4.45062E-05
Trial     1,Arena 4,0:01:08-0:01:10,5.43955E-05,2.71977E-05
Trial     1,Arena 4,0:01:10-0:01:12,0.000103891,5.19457E-05
Trial     1,Arena 4,0:01:12-0:01:14,0.000105293,5.26465E-05
Trial     1,Arena 4,0:01:14-0:01:16,0.000108753,5.43764E-05
Trial     1,Arena 4,0:01:16-0:01:18,0.000379277,0.000189639
Trial     1,Arena 4,0:01:18-0:01:20,4.61469E-05,2.30734E-05
Trial     1,Arena 4,0:01:20-0:01:22,0.000114419,5.72097E-05
Trial     1,Arena 4,0:01:22-0:01:24,0.000101057,5.05287E-05
Trial     1,Arena 4,0:01:24-0:01:26,5.35137E-05,2.67569E-05
Trial     1,Arena 4,0:01:26-0:01:28,5.54681E-05,0.000027734
Trial     1,Arena 4,0:01:28-0:01:30,0.000388461,0.00019423
Trial     1,Arena 4,0:01:30-0:01:32,0.000125567,6.27836E-05
Trial     1,Arena 4,0:01:32-0:01:34,9.07858E-05,4.53929E-05
Trial     1,Arena 4,0:01:34-0:01:36,9.05005E-05,4.52502E-05
Trial     1,Arena 4,0:01:36-0:01:38,3.05732E-05,1.52866E-05
Trial     1,Arena 4,0:01:38-0:01:40,8.29095E-05,4.14548E-05
Trial     1,Arena 4,0:01:40-0:01:42,0.00113205,0.000566027
Trial     1,Arena 4,0:01:42-0:01:44,0.00268111,0.00134055
Trial     1,Arena 4,0:01:44-0:01:46,0.00389595,0.00194798
Trial     1,Arena 4,0:01:46-0:01:48,0.00153129,0.000765644
Trial     1,Arena 4,0:01:48-0:01:50,0.000237306,0.000118653
Trial     1,Arena 4,0:01:50-0:01:52,9.97395E-05,4.98698E-05
Trial     1,Arena 4,0:01:52-0:01:54,0.00132681,0.000663406
Trial     1,Arena 4,0:01:54-0:01:56,0.00375999,0.00187999
Trial     1,Arena 4,0:01:56-0:01:58,0.00181124,0.000905618
Trial     1,Arena 4,0:01:58-0:02:00,0.00125821,0.000629105
Trial     1,Arena 4,0:02:00-0:02:02,2.31684E-05,4.63368E-05
Trial     1,Arena 5,0:00:00-0:00:02,0.000185905,0.000371809
Trial     1,Arena 5,0:00:02-0:00:04,0.000519113,0.000259556
Trial     1,Arena 5,0:00:04-0:00:06,0.000133583,6.67914E-05
Trial     1,Arena 5,0:00:06-0:00:08,0.00143581,0.000717906
Trial     1,Arena 5,0:00:08-0:00:10,0.0038058,0.0019029
Trial     1,Arena 5,0:00:10-0:00:12,0.000402099,0.000201049
Trial     1,Arena 5,0:00:12-0:00:14,0.00159389,0.000796945
Trial     1,Arena 5,0:00:14-0:00:16,0.000830996,0.000415498
Trial     1,Arena 5,0:00:16-0:00:18,0.00140865,0.000704323
Trial     1,Arena 5,0:00:18-0:00:20,0.000873982,0.000436991
Trial     1,Arena 5,0:00:20-0:00:22,0.000238486,0.000119243
Trial     1,Arena 5,0:00:22-0:00:24,0.00178923,0.000894614
Trial     1,Arena 5,0:00:24-0:00:26,0.000980423,0.000490212
Trial     1,Arena 5,0:00:26-0:00:28,0.00139092,0.00069546
Trial     1,Arena 5,0:00:28-0:00:30,0.000579347,0.000289674
Trial     1,Arena 5,0:00:30-0:00:32,0.00013044,6.52198E-05
Trial     1,Arena 5,0:00:32-0:00:34,0.00233324,0.00116662
Trial     1,Arena 5,0:00:34-0:00:36,0.0013401,0.000670051
Trial     1,Arena 5,0:00:36-0:00:38,0.0025958,0.0012979
Trial     1,Arena 5,0:00:38-0:00:40,0.00237402,0.00118701
Trial     1,Arena 5,0:00:40-0:00:42,0.00357656,0.00178828
Trial     1,Arena 5,0:00:42-0:00:44,0.0018562,0.000928099
Trial     1,Arena 5,0:00:44-0:00:46,0.000370453,0.000185226
Trial     1,Arena 5,0:00:46-0:00:48,0.000446936,0.000223468
Trial     1,Arena 5,0:00:48-0:00:50,0.00313837,0.00156918
Trial     1,Arena 5,0:00:50-0:00:52,0.00360243,0.00180121
Trial     1,Arena 5,0:00:52-0:00:54,0.00306166,0.00153083
Trial     1,Arena 5,0:00:54-0:00:56,0.00322166,0.00161083
Trial     1,Arena 5,0:00:56-0:00:58,0.00171102,0.000855511
Trial     1,Arena 5,0:00:58-0:01:00,0.000831802,0.000415901
Trial     1,Arena 5,0:01:00-0:01:02,0.00173164,0.00086582
Trial     1,Arena 5,0:01:02-0:01:04,0.00125387,0.000626934
Trial     1,Arena 5,0:01:04-0:01:06,0.000858687,0.000429343
Trial     1,Arena 5,0:01:06-0:01:08,0.00101218,0.000506088
Trial     1,Arena 5,0:01:08-0:01:10,0.000899173,0.000449587
Trial     1,Arena 5,0:01:10-0:01:12,0.00100801,0.000504004
Trial     1,Arena 5,0:01:12-0:01:14,0.00145808,0.000729042
Trial     1,Arena 5,0:01:14-0:01:16,0.0011074,0.000553698
Trial     1,Arena 5,0:01:16-0:01:18,0.00127937,0.000639687
Trial     1,Arena 5,0:01:18-0:01:20,0.00101227,0.000506136
Trial     1,Arena 5,0:01:20-0:01:22,0.00140206,0.000701032
Trial     1,Arena 5,0:01:22-0:01:24,0.00324228,0.00162114
Trial     1,Arena 5,0:01:24-0:01:26,0.00121805,0.000609023
Trial     1,Arena 5,0:01:26-0:01:28,0.00395425,0.00197712
Trial     1,Arena 5,0:01:28-0:01:30,0.00241019,0.0012051
Trial     1,Arena 5,0:01:30-0:01:32,0.0014494,0.000724702
Trial     1,Arena 5,0:01:32-0:01:34,0.00186249,0.000931247
Trial     1,Arena 5,0:01:34-0:01:36,0.00173852,0.000869259
Trial     1,Arena 5,0:01:36-0:01:38,0.000102818,5.14091E-05
Trial     1,Arena 5,0:01:38-0:01:40,0.000577019,0.000288509
Trial     1,Arena 5,0:01:40-0:01:42,0.00228261,0.00114131
Trial     1,Arena 5,0:01:42-0:01:44,0.00273752,0.00136876
Trial     1,Arena 5,0:01:44-0:01:46,0.0014395,0.000719748
Trial     1,Arena 5,0:01:46-0:01:48,0.00140947,0.000704735
Trial     1,Arena 5,0:01:48-0:01:50,0.00354499,0.0017725
Trial     1,Arena 5,0:01:50-0:01:52,0.0011623,0.000581151
Trial     1,Arena 5,0:01:52-0:01:54,0.00360715,0.00180357
Trial     1,Arena 5,0:01:54-0:01:56,0.00118999,0.000594997
Trial     1,Arena 5,0:01:56-0:01:58,0.00292679,0.00146339
Trial     1,Arena 5,0:01:58-0:02:00,0.00395256,0.00197628
Trial     1,Arena 5,0:02:00-0:02:02,0.000124785,0.00024957
Trial     1,Arena 6,0:00:00-0:00:02,0,0
Trial     1,Arena 6,0:00:02-0:00:04,0,0
Trial     1,Arena 6,0:00:04-0:00:06,0,0
Trial     1,Arena 6,0:00:06-0:00:08,0,0
Trial     1,Arena 6,0:00:08-0:00:10,0.000240475,0.000120238
Trial     1,Arena 6,0:00:10-0:00:12,0.000166108,8.30538E-05
Trial     1,Arena 6,0:00:12-0:00:14,0.000163329,8.16647E-05
Trial     1,Arena 6,0:00:14-0:00:16,8.47961E-05,0.000042398
Trial     1,Arena 6,0:00:16-0:00:18,0.000279339,0.000139669
Trial     1,Arena 6,0:00:18-0:00:20,0.000624755,0.000312377
Trial     1,Arena 6,0:00:20-0:00:22,0.000359387,0.000179693
Trial     1,Arena 6,0:00:22-0:00:24,0.0113484,0.00567421
Trial     1,Arena 6,0:00:24-0:00:26,0.0105515,0.00527573
Trial     1,Arena 6,0:00:26-0:00:28,0.00587831,0.00293915
Trial     1,Arena 6,0:00:28-0:00:30,0.000402871,0.000201435
Trial     1,Arena 6,0:00:30-0:00:32,0.000382665,0.000191332
Trial     1,Arena 6,0:00:32-0:00:34,0.000270969,0.000135485
Trial     1,Arena 6,0:00:34-0:00:36,0.00337409,0.00168705
Trial     1,Arena 6,0:00:36-0:00:38,0.0171382,0.00856912
Trial     1,Arena 6,0:00:38-0:00:40,0.0144713,0.00723565
Trial     1,Arena 6,0:00:40-0:00:42,0.0131311,0.00656556
Trial     1,Arena 6,0:00:42-0:00:44,0.00983418,0.00491709
Trial     1,Arena 6,0:00:44-0:00:46,0.00600684,0.00300342
Trial     1,Arena 6,0:00:46-0:00:48,0.00286376,0.00143188
Trial     1,Arena 6,0:00:48-0:00:50,0.00179954,0.000899772
Trial     1,Arena 6,0:00:50-0:00:52,0.00166319,0.000831595
Trial     1,Arena 6,0:00:52-0:00:54,0.000594407,0.000297204
Trial     1,Arena 6,0:00:54-0:00:56,0.00165156,0.000825781
Trial     1,Arena 6,0:00:56-0:00:58,7.24922E-05,3.62461E-05
Trial     1,Arena 6,0:00:58-0:01:00,7.83608E-05,3.91804E-05
Trial     1,Arena 6,0:01:00-0:01:02,8.97299E-05,0.000044865
Trial     1,Arena 6,0:01:02-0:01:04,0.000093681,4.68405E-05
Trial     1,Arena 6,0:01:04-0:01:06,7.35085E-05,3.67543E-05
Trial     1,Arena 6,0:01:06-0:01:08,5.39299E-05,0.000026965
Trial     1,Arena 6,0:01:08-0:01:10,7.70686E-05,3.85343E-05
Trial     1,Arena 6,0:01:10-0:01:12,0.000101693,5.08463E-05
Trial     1,Arena 6,0:01:12-0:01:14,0.000134342,6.71711E-05
Trial     1,Arena 6,0:01:14-0:01:16,0.000108699,5.43493E-05
Trial     1,Arena 6,0:01:16-0:01:18,0.000058426,0.000029213
Trial     1,Arena 6,0:01:18-0:01:20,6.53126E-05,3.26563E-05
Trial     1,Arena 6,0:01:20-0:01:22,0.000115921,5.79604E-05
Trial     1,Arena 6,0:01:22-0:01:24,0.000102064,0.000051032
Trial     1,Arena 6,0:01:24-0:01:26,8.65232E-05,4.32616E-05
Trial     1,Arena 6,0:01:26-0:01:28,0.000201253,0.000100627
Trial     1,Arena 6,0:01:28-0:01:30,0.000150231,7.51155E-05
Trial     1,Arena 6,0:01:30-0:01:32,8.21009E-05,4.10504E-05
Trial     1,Arena 6,0:01:32-0:01:34,7.04013E-05,3.52007E-05
Trial     1,Arena 6,0:01:34-0:01:36,7.93605E-05,3.96802E-05
Trial     1,Arena 6,0:01:36-0:01:38,9.66861E-05,0.000048343
Trial     1,Arena 6,0:01:38-0:01:40,7.15186E-05,3.57593E-05
Trial     1,Arena 6,0:01:40-0:01:42,8.73871E-05,4.36935E-05
Trial     1,Arena 6,0:01:42-0:01:44,0.00017406,0.00008703
Trial     1,Arena 6,0:01:44-0:01:46,0.000116658,0.000058329
Trial     1,Arena 6,0:01:46-0:01:48,9.81351E-05,4.90676E-05
Trial     1,Arena 6,0:01:48-0:01:50,7.11596E-05,3.55798E-05
Trial     1,Arena 6,0:01:50-0:01:52,9.64746E-05,4.82373E-05
Trial     1,Arena 6,0:01:52-0:01:54,9.52026E-05,4.76013E-05
Trial     1,Arena 6,0:01:54-0:01:56,0.000100451,5.02253E-05
Trial     1,Arena 6,0:01:56-0:01:58,8.45352E-05,4.22676E-05
Trial     1,Arena 6,0:01:58-0:02:00,8.76082E-05,4.38041E-05
Trial     1,Arena 6,0:02:00-0:02:02,2.45751E-05,4.91502E-05
Trial     1,Arena 7,0:00:00-0:00:02,9.72213E-06,1.94443E-05
Trial     1,Arena 7,0:00:02-0:00:04,0.000128388,6.41938E-05
Trial     1,Arena 7,0:00:04-0:00:06,7.80467E-05,3.90233E-05
Trial     1,Arena 7,0:00:06-0:00:08,6.64555E-05,3.32278E-05
Trial     1,Arena 7,0:00:08-0:00:10,0.000122217,6.11084E-05
Trial     1,Arena 7,0:00:10-0:00:12,7.53643E-05,3.76822E-05
Trial     1,Arena 7,0:00:12-0:00:14,0.00013647,0.000068235
