Trial,Arena,Time bin,Distance moved Center-point Total m,Velocity Center-point Mean m/s
Trial     1,Arena 1,0:00:00-0:00:02,3.65923E-05,7.31845E-05
Trial     1,Arena 1,0:00:02-0:00:04,0.000112614,5.63072E-05
Trial     1,Arena 1,0:00:04-0:00:06,0.000131849,6.59247E-05
Trial     1,Arena 1,0:00:06-0:00:08,7.81221E-05,0.000039061
Trial     1,Arena 1,0:00:08-0:00:10,0.000130303,6.51517E-05
Trial     1,Arena 1,0:00:10-0:00:12,0.000117049,5.85245E-05
Trial     1,Arena 1,0:00:12-0:00:14,0.000138687,6.93437E-05
Trial     1,Arena 1,0:00:14-0:00:16,8.08721E-05,4.04361E-05
Trial     1,Arena 1,0:00:16-0:00:18,0.000121202,6.06008E-05
Trial     1,Arena 1,0:00:18-0:00:20,0.000138093,6.90466E-05
Trial     1,Arena 1,0:00:20-0:00:22,0.000107929,5.39643E-05
Trial     1,Arena 1,0:00:22-0:00:24,8.04056E-05,4.02028E-05
Trial     1,Arena 1,0:00:24-0:00:26,0.0014552,0.000727602
Trial     1,Arena 1,0:00:26-0:00:28,9.03422E-05,4.51711E-05
Trial     1,Arena 1,0:00:28-0:00:30,0.000202363,0.000101182
Trial     1,Arena 1,0:00:30-0:00:32,0.00273642,0.00136821
Trial     1,Arena 1,0:00:32-0:00:34,0.00392291,0.00196145
Trial     1,Arena 1,0:00:34-0:00:36,0.00267506,0.00133753
Trial     1,Arena 1,0:00:36-0:00:38,0.000247484,0.000123742
Trial     1,Arena 1,0:00:38-0:00:40,0.000118112,0.000059056
Trial     1,Arena 1,0:00:40-0:00:42,0.00392668,0.00196334
Trial     1,Arena 1,0:00:42-0:00:44,0.000627639,0.000313819
Trial     1,Arena 1,0:00:44-0:00:46,0.00263365,0.00131683
Trial     1,Arena 1,0:00:46-0:00:48,0.00281183,0.00140592
Trial     1,Arena 1,0:00:48-0:00:50,0.00105796,0.000528979
Trial     1,Arena 1,0:00:50-0:00:52,0.00211195,0.00105598
Trial     1,Arena 1,0:00:52-0:00:54,0.00203585,0.00101792
Trial     1,Arena 1,0:00:54-0:00:56,0.00182475,0.000912374
Trial     1,Arena 1,0:00:56-0:00:58,0.000804125,0.000402063
Trial     1,Arena 1,0:00:58-0:01:00,0.00336039,0.00168019
Trial     1,Arena 1,0:01:00-0:01:02,0.00106311,0.000531557
Trial     1,Arena 1,0:01:02-0:01:04,0.00103053,0.000515265
Trial     1,Arena 1,0:01:04-0:01:06,0.000274995,0.000137497
Trial     1,Arena 1,0:01:06-0:01:08,0.000471605,0.000235802
Trial     1,Arena 1,0:01:08-0:01:10,0.00143346,0.000716729
Trial     1,Arena 1,0:01:10-0:01:12,0.00187758,0.00093879
Trial     1,Arena 1,0:01:12-0:01:14,0.00130754,0.000653772
Trial     1,Arena 1,0:01:14-0:01:16,0.00172322,0.000861609
Trial     1,Arena 1,0:01:16-0:01:18,0.000214474,0.000107237
Trial     1,Arena 1,0:01:18-0:01:20,0.00128922,0.00064461
Trial     1,Arena 1,0:01:20-0:01:22,9.93076E-05,4.96538E-05
Trial     1,Arena 1,0:01:22-0:01:24,0.00149278,0.000746392
Trial     1,Arena 1,0:01:24-0:01:26,0.00267521,0.0013376
Trial     1,Arena 1,0:01:26-0:01:28,0.000855953,0.000427977
Trial     1,Arena 1,0:01:28-0:01:30,0.000201395,0.000100697
Trial     1,Arena 1,0:01:30-0:01:32,7.05488E-05,3.52744E-05
Trial     1,Arena 1,0:01:32-0:01:34,8.13062E-05,4.06531E-05
Trial     1,Arena 1,0:01:34-0:01:36,0.00128815,0.000644074
Trial     1,Arena 1,0:01:36-0:01:38,0.000925746,0.000462873
Trial     1,Arena 1,0:01:38-0:01:40,9.64033E-05,4.82016E-05
Trial     1,Arena 1,0:01:40-0:01:42,9.04244E-05,4.52122E-05
Trial     1,Arena 1,0:01:42-0:01:44,8.45765E-05,4.22882E-05
Trial     1,Arena 1,0:01:44-0:01:46,0.000127759,6.38797E-05
Trial     1,Arena 1,0:01:46-0:01:48,0.000873491,0.000436746
Trial     1,Arena 1,0:01:48-0:01:50,5.56455E-05,2.78227E-05
Trial     1,Arena 1,0:01:50-0:01:52,0.000113775,5.68875E-05
Trial     1,Arena 1,0:01:52-0:01:54,0.000949682,0.000474841
Trial     1,Arena 1,0:01:54-0:01:56,0.000513196,0.000256598
Trial     1,Arena 1,0:01:56-0:01:58,0.00201265,0.00100633
Trial     1,Arena 1,0:01:58-0:02:00,0.000490401,0.0002452
Trial     1,Arena 1,0:02:00-0:02:02,1.28054E-05,2.56108E-05
Trial     1,Arena 2,0:00:00-0:00:02,1.69679E-05,3.39358E-05
Trial     1,Arena 2,0:00:02-0:00:04,1.43585E-05,7.17927E-06
Trial     1,Arena 2,0:00:04-0:00:06,5.06543E-05,2.53272E-05
Trial     1,Arena 2,0:00:06-0:00:08,0.00179885,0.000899427
Trial     1,Arena 2,0:00:08-0:00:10,0.00291369,0.00145685
Trial     1,Arena 2,0:00:10-0:00:12,0.000124752,6.23762E-05
Trial     1,Arena 2,0:00:12-0:00:14,6.71373E-05,3.35686E-05
Trial     1,Arena 2,0:00:14-0:00:16,0.00150336,0.000751681
Trial     1,Arena 2,0:00:16-0:00:18,0.000548471,0.000274235
Trial     1,Arena 2,0:00:18-0:00:20,0.0017212,0.0008606
Trial     1,Arena 2,0:00:20-0:00:22,5.71755E-05,2.85878E-05
Trial     1,Arena 2,0:00:22-0:00:24,5.61937E-05,2.80968E-05
Trial     1,Arena 2,0:00:24-0:00:26,6.37846E-05,3.18923E-05
Trial     1,Arena 2,0:00:26-0:00:28,0.00164616,0.000823078
Trial     1,Arena 2,0:00:28-0:00:30,0.000528159,0.000264079
Trial     1,Arena 2,0:00:30-0:00:32,0.00447117,0.00223558
Trial     1,Arena 2,0:00:32-0:00:34,0.00145348,0.000726739
Trial     1,Arena 2,0:00:34-0:00:36,0.000462629,0.000231315
Trial     1,Arena 2,0:00:36-0:00:38,0.00343058,0.00171529
Trial     1,Arena 2,0:00:38-0:00:40,0.000151051,7.55254E-05
Trial     1,Arena 2,0:00:40-0:00:42,0.00173532,0.000867661
Trial     1,Arena 2,0:00:42-0:00:44,0.000591146,0.000295573
Trial     1,Arena 2,0:00:44-0:00:46,0.00203975,0.00101988
Trial     1,Arena 2,0:00:46-0:00:48,0.000841391,0.000420696
Trial     1,Arena 2,0:00:48-0:00:50,0.00126179,0.000630895
Trial     1,Arena 2,0:00:50-0:00:52,0.000156285,7.81423E-05
Trial     1,Arena 2,0:00:52-0:00:54,0.0011186,0.000559299
Trial     1,Arena 2,0:00:54-0:00:56,0.000480395,0.000240198
Trial     1,Arena 2,0:00:56-0:00:58,6.35218E-05,3.17609E-05
Trial     1,Arena 2,0:00:58-0:01:00,6.55352E-05,3.27676E-05
Trial     1,Arena 2,0:01:00-0:01:02,0.000169223,8.46114E-05
Trial     1,Arena 2,0:01:02-0:01:04,0.00118897,0.000594483
Trial     1,Arena 2,0:01:04-0:01:06,0.000584521,0.000292261
Trial     1,Arena 2,0:01:06-0:01:08,0.00101226,0.000506131
Trial     1,Arena 2,0:01:08-0:01:10,0.000146718,7.33592E-05
Trial     1,Arena 2,0:01:10-0:01:12,0.0011794,0.0005897
Trial     1,Arena 2,0:01:12-0:01:14,0.00232353,0.00116177
Trial     1,Arena 2,0:01:14-0:01:16,0.00263788,0.00131894
Trial     1,Arena 2,0:01:16-0:01:18,0.00038764,0.00019382
Trial     1,Arena 2,0:01:18-0:01:20,0.001967,0.000983502
Trial     1,Arena 2,0:01:20-0:01:22,0.00073519,0.000367595
Trial     1,Arena 2,0:01:22-0:01:24,0.000874891,0.000437445
Trial     1,Arena 2,0:01:24-0:01:26,0.00143937,0.000719684
Trial     1,Arena 2,0:01:26-0:01:28,0.00183401,0.000917007
Trial     1,Arena 2,0:01:28-0:01:30,0.000558752,0.000279376
Trial     1,Arena 2,0:01:30-0:01:32,0.000569465,0.000284732
Trial     1,Arena 2,0:01:32-0:01:34,4.20286E-05,2.10143E-05
Trial     1,Arena 2,0:01:34-0:01:36,0.000388131,0.000194066
Trial     1,Arena 2,0:01:36-0:01:38,0.00258366,0.00129183
Trial     1,Arena 2,0:01:38-0:01:40,0.00382042,0.00191021
Trial     1,Arena 2,0:01:40-0:01:42,0.00627896,0.00313948
Trial     1,Arena 2,0:01:42-0:01:44,0.00339767,0.00169883
Trial     1,Arena 2,0:01:44-0:01:46,0.00116574,0.000582869
Trial     1,Arena 2,0:01:46-0:01:48,0.0013642,0.0006821
Trial     1,Arena 2,0:01:48-0:01:50,0.0016584,0.0008292
Trial     1,Arena 2,0:01:50-0:01:52,0.00274438,0.00137219
Trial     1,Arena 2,0:01:52-0:01:54,0.000920603,0.000460302
Trial     1,Arena 2,0:01:54-0:01:56,0.000649435,0.000324718
