Trial,Arena,Time bin,Distance moved Center-point Total m,Velocity Center-point Mean m/s
Trial     1,Arena 2,0:01:56-0:01:58,0.00121589,0.000607943
Trial     1,Arena 2,0:01:58-0:02:00,0.00308712,0.00154356
Trial     1,Arena 2,0:02:00-0:02:02,5.06976E-05,0.000101395
Trial     1,Arena 3,0:00:00-0:00:02,1.77753E-05,3.55505E-05
Trial     1,Arena 3,0:00:02-0:00:04,0.000751595,0.000375798
Trial     1,Arena 3,0:00:04-0:00:06,0.000102192,0.000051096
Trial     1,Arena 3,0:00:06-0:00:08,0.00315072,0.00157536
Trial     1,Arena 3,0:00:08-0:00:10,0.00149243,0.000746217
Trial     1,Arena 3,0:00:10-0:00:12,0.00229691,0.00114846
Trial     1,Arena 3,0:00:12-0:00:14,0.000116094,5.80469E-05
Trial     1,Arena 3,0:00:14-0:00:16,0.000058059,2.90295E-05
Trial     1,Arena 3,0:00:16-0:00:18,0.00113315,0.000566574
Trial     1,Arena 3,0:00:18-0:00:20,0.00214308,0.00107154
Trial     1,Arena 3,0:00:20-0:00:22,0.000848525,0.000424263
Trial     1,Arena 3,0:00:22-0:00:24,0.00111913,0.000559566
Trial     1,Arena 3,0:00:24-0:00:26,0.00176484,0.000882422
Trial     1,Arena 3,0:00:26-0:00:28,0.00090988,0.00045494
Trial     1,Arena 3,0:00:28-0:00:30,0.00127398,0.000636989
Trial     1,Arena 3,0:00:30-0:00:32,0.000626388,0.000313194
Trial     1,Arena 3,0:00:32-0:00:34,0.00227349,0.00113675
Trial     1,Arena 3,0:00:34-0:00:36,0.00103392,0.000516959
Trial     1,Arena 3,0:00:36-0:00:38,0.000271564,0.000135782
Trial     1,Arena 3,0:00:38-0:00:40,0.000667631,0.000333815
Trial     1,Arena 3,0:00:40-0:00:42,0.00218912,0.00109456
Trial     1,Arena 3,0:00:42-0:00:44,0.00257158,0.00128579
Trial     1,Arena 3,0:00:44-0:00:46,0.000818695,0.000409347
Trial     1,Arena 3,0:00:46-0:00:48,0.0015621,0.000781049
Trial     1,Arena 3,0:00:48-0:00:50,0.00020047,0.000100235
Trial     1,Arena 3,0:00:50-0:00:52,0.00115131,0.000575655
Trial     1,Arena 3,0:00:52-0:00:54,0.000790828,0.000395414
Trial     1,Arena 3,0:00:54-0:00:56,0.000917815,0.000458907
Trial     1,Arena 3,0:00:56-0:00:58,0.00159149,0.000795746
Trial     1,Arena 3,0:00:58-0:01:00,0.00191598,0.000957988
Trial     1,Arena 3,0:01:00-0:01:02,0.00136419,0.000682097
Trial     1,Arena 3,0:01:02-0:01:04,0.00092177,0.000460885
Trial     1,Arena 3,0:01:04-0:01:06,0.000685666,0.000342833
Trial     1,Arena 3,0:01:06-0:01:08,0.000193482,0.000096741
Trial     1,Arena 3,0:01:08-0:01:10,0.00259791,0.00129896
Trial     1,Arena 3,0:01:10-0:01:12,0.00276541,0.00138271
Trial     1,Arena 3,0:01:12-0:01:14,0.000945912,0.000472956
Trial     1,Arena 3,0:01:14-0:01:16,0.00156261,0.000781307
Trial     1,Arena 3,0:01:16-0:01:18,0.00117311,0.000586553
Trial     1,Arena 3,0:01:18-0:01:20,0.00147925,0.000739627
Trial     1,Arena 3,0:01:20-0:01:22,0.00287092,0.00143546
Trial     1,Arena 3,0:01:22-0:01:24,0.000935314,0.000467657
Trial     1,Arena 3,0:01:24-0:01:26,0.000875266,0.000437633
Trial     1,Arena 3,0:01:26-0:01:28,0.00229552,0.00114776
Trial     1,Arena 3,0:01:28-0:01:30,0.00223658,0.00111829
Trial     1,Arena 3,0:01:30-0:01:32,0.00318668,0.00159334
Trial     1,Arena 3,0:01:32-0:01:34,0.00136995,0.000684976
Trial     1,Arena 3,0:01:34-0:01:36,0.000326514,0.000163257
Trial     1,Arena 3,0:01:36-0:01:38,0.00176161,0.000880805
Trial     1,Arena 3,0:01:38-0:01:40,0.000641673,0.000320837
Trial     1,Arena 3,0:01:40-0:01:42,0.00342955,0.00171477
Trial     1,Arena 3,0:01:42-0:01:44,0.000977548,0.000488774
Trial     1,Arena 3,0:01:44-0:01:46,0.00183979,0.000919893
Trial     1,Arena 3,0:01:46-0:01:48,0.000129511,6.47556E-05
Trial     1,Arena 3,0:01:48-0:01:50,0.00124611,0.000623057
Trial     1,Arena 3,0:01:50-0:01:52,6.75133E-05,3.37567E-05
Trial     1,Arena 3,0:01:52-0:01:54,0.00154353,0.000771765
Trial     1,Arena 3,0:01:54-0:01:56,0.000676704,0.000338352
Trial     1,Arena 3,0:01:56-0:01:58,0.00149886,0.000749432
Trial     1,Arena 3,0:01:58-0:02:00,0.00102457,0.000512286
Trial     1,Arena 3,0:02:00-0:02:02,4.89647E-05,9.79295E-05
Trial     1,Arena 4,0:00:00-0:00:02,5.47578E-05,0.000109516
Trial     1,Arena 4,0:00:02-0:00:04,0.000114072,5.70361E-05
Trial     1,Arena 4,0:00:04-0:00:06,0.000172441,8.62207E-05
Trial     1,Arena 4,0:00:06-0:00:08,0.00012868,6.43398E-05
Trial     1,Arena 4,0:00:08-0:00:10,0.000191638,9.58191E-05
Trial     1,Arena 4,0:00:10-0:00:12,0.000201128,0.000100564
Trial     1,Arena 4,0:00:12-0:00:14,0.000148391,7.41954E-05
Trial     1,Arena 4,0:00:14-0:00:16,0.000172904,0.000086452
Trial     1,Arena 4,0:00:16-0:00:18,9.15932E-05,4.57966E-05
Trial     1,Arena 4,0:00:18-0:00:20,0.000154133,7.70666E-05
Trial     1,Arena 4,0:00:20-0:00:22,0.000382182,0.000191091
Trial     1,Arena 4,0:00:22-0:00:24,0.000137999,6.89997E-05
Trial     1,Arena 4,0:00:24-0:00:26,0.000190998,9.54992E-05
Trial     1,Arena 4,0:00:26-0:00:28,0.000237023,0.000118511
Trial     1,Arena 4,0:00:28-0:00:30,0.000250843,0.000125422
Trial     1,Arena 4,0:00:30-0:00:32,0.00132556,0.000662779
Trial     1,Arena 4,0:00:32-0:00:34,0.00132727,0.000663635
Trial     1,Arena 4,0:00:34-0:00:36,0.00156181,0.000780907
Trial     1,Arena 4,0:00:36-0:00:38,0.00270276,0.00135138
Trial     1,Arena 4,0:00:38-0:00:40,0.000162483,8.12413E-05
Trial     1,Arena 4,0:00:40-0:00:42,0.000061856,0.000030928
Trial     1,Arena 4,0:00:42-0:00:44,4.12509E-05,2.06254E-05
Trial     1,Arena 4,0:00:44-0:00:46,4.89093E-05,2.44547E-05
Trial     1,Arena 4,0:00:46-0:00:48,0.000136672,0.000068336
Trial     1,Arena 4,0:00:48-0:00:50,6.16259E-05,0.000030813
Trial     1,Arena 4,0:00:50-0:00:52,6.42522E-05,3.21261E-05
Trial     1,Arena 4,0:00:52-0:00:54,0.000101039,5.05197E-05
Trial     1,Arena 4,0:00:54-0:00:56,5.10811E-05,2.55405E-05
Trial     1,Arena 4,0:00:56-0:00:58,3.52332E-05,1.76166E-05
Trial     1,Arena 4,0:00:58-0:01:00,5.69552E-05,2.84776E-05
Trial     1,Arena 4,0:01:00-0:01:02,7.01951E-05,3.50975E-05
Trial     1,Arena 4,0:01:02-0:01:04,3.34423E-05,1.67211E-05
Trial     1,Arena 4,0:01:04-0:01:06,0.000031841,1.59205E-05
Trial     1,Arena 4,0:01:06-0:01:08,4.75616E-05,2.37808E-05
Trial     1,Arena 4,0:01:08-0:01:10,0.000057979,2.89895E-05
Trial     1,Arena 4,0:01:10-0:01:12,5.59254E-05,2.79627E-05
Trial     1,Arena 4,0:01:12-0:01:14,5.10447E-05,2.55224E-05
Trial     1,Arena 4,0:01:14-0:01:16,5.57184E-05,2.78592E-05
Trial     1,Arena 4,0:01:16-0:01:18,0.000055576,0.000027788
Trial     1,Arena 4,0:01:18-0:01:20,6.39499E-05,3.19749E-05
Trial     1,Arena 4,0:01:20-0:01:22,5.74834E-05,2.87417E-05
Trial     1,Arena 4,0:01:22-0:01:24,3.28996E-05,1.64498E-05
Trial     1,Arena 4,0:01:24-0:01:26,3.74346E-05,1.87173E-05
Trial     1,Arena 4,0:01:26-0:01:28,6.14501E-05,0.000030725
Trial     1,Arena 4,0:01:28-0:01:30,6.47594E-05,3.23797E-05
Trial     1,Arena 4,0:01:30-0:01:32,6.79226E-05,3.39613E-05
Trial     1,Arena 4,0:01:32-0:01:34,6.82539E-05,0.000034127
Trial     1,Arena 4,0:01:34-0:01:36,0.000107693,5.38465E-05
Trial     1,Arena 4,0:01:36-0:01:38,5.26631E-05,2.63315E-05
Trial     1,Arena 4,0:01:38-0:01:40,8.18952E-05,4.09476E-05
Trial     1,Arena 4,0:01:40-0:01:42,6.83235E-05,3.41618E-05
Trial     1,Arena 4,0:01:42-0:01:44,7.34264E-05,3.67132E-05
Trial     1,Arena 4,0:01:44-0:01:46,6.45157E-05,3.22578E-05
Trial     1,Arena 4,0:01:46-0:01:48,5.35956E-05,2.67978E-05
Trial     1,Arena 4,0:01:48-0:01:50,9.79099E-05,0.000048955
Trial     1,Arena 4,0:01:50-0:01:52,4.88671E-05,2.44336E-05
Trial     1,Arena 4,0:01:52-0:01:54,0.00219742,0.00109871
Trial     1,Arena 4,0:01:54-0:01:56,0.000121316,6.06582E-05
Trial     1,Arena 4,0:01:56-0:01:58,6.20737E-05,3.10368E-05
Trial     1,Arena 4,0:01:58-0:02:00,0.000145795,7.28973E-05
Trial     1,Arena 4,0:02:00-0:02:02,3.91176E-05,7.82353E-05
Trial     1,Arena 5,0:00:00-0:00:02,0.00135439,0.00270878
Trial     1,Arena 5,0:00:02-0:00:04,0.000305889,0.000152944
Trial     1,Arena 5,0:00:04-0:00:06,0.000493432,0.000246716
Trial     1,Arena 5,0:00:06-0:00:08,5.48573E-05,2.74286E-05
Trial     1,Arena 5,0:00:08-0:00:10,0.00056774,0.00028387
Trial     1,Arena 5,0:00:10-0:00:12,0.000508052,0.000254026
Trial     1,Arena 5,0:00:12-0:00:14,0.00047466,0.00023733
Trial     1,Arena 5,0:00:14-0:00:16,0.000527931,0.000263965
Trial     1,Arena 5,0:00:16-0:00:18,0.000534945,0.000267473
Trial     1,Arena 5,0:00:18-0:00:20,0.000550157,0.000275078
Trial     1,Arena 5,0:00:20-0:00:22,0.00187544,0.000937721
Trial     1,Arena 5,0:00:22-0:00:24,0.00011752,5.87601E-05
Trial     1,Arena 5,0:00:24-0:00:26,0.00106498,0.000532491
Trial     1,Arena 5,0:00:26-0:00:28,0.000724663,0.000362331
Trial     1,Arena 5,0:00:28-0:00:30,0.000940367,0.000470183
Trial     1,Arena 5,0:00:30-0:00:32,0.00178298,0.000891492
Trial     1,Arena 5,0:00:32-0:00:34,0.0021837,0.00109185
Trial     1,Arena 5,0:00:34-0:00:36,0.000898379,0.000449189
Trial     1,Arena 5,0:00:36-0:00:38,0.000922547,0.000461274
Trial     1,Arena 5,0:00:38-0:00:40,0.000852223,0.000426112
Trial     1,Arena 5,0:00:40-0:00:42,0.000814992,0.000407496
Trial     1,Arena 5,0:00:42-0:00:44,0.000553845,0.000276923
Trial     1,Arena 5,0:00:44-0:00:46,0.000527076,0.000263538
Trial     1,Arena 5,0:00:46-0:00:48,0.000850748,0.000425374
Trial     1,Arena 5,0:00:48-0:00:50,0.000435763,0.000217881
Trial     1,Arena 5,0:00:50-0:00:52,0.00121187,0.000605937
Trial     1,Arena 5,0:00:52-0:00:54,0.000935105,0.000467552
Trial     1,Arena 5,0:00:54-0:00:56,0.00155313,0.000776564
Trial     1,Arena 5,0:00:56-0:00:58,0.000104467,5.22333E-05
Trial     1,Arena 5,0:00:58-0:01:00,0.00245566,0.00122783
Trial     1,Arena 5,0:01:00-0:01:02,0.000678228,0.000339114
Trial     1,Arena 5,0:01:02-0:01:04,0.00144082,0.000720411
Trial     1,Arena 5,0:01:04-0:01:06,0.000616509,0.000308255
Trial     1,Arena 5,0:01:06-0:01:08,0.00109515,0.000547576
Trial     1,Arena 5,0:01:08-0:01:10,0.00171792,0.000858958
Trial     1,Arena 5,0:01:10-0:01:12,0.000907226,0.000453613
Trial     1,Arena 5,0:01:12-0:01:14,0.00121539,0.000607693
Trial     1,Arena 5,0:01:14-0:01:16,0.00178966,0.000894829
Trial     1,Arena 5,0:01:16-0:01:18,0.000274451,0.000137226
Trial     1,Arena 5,0:01:18-0:01:20,0.000695768,0.000347884
Trial     1,Arena 5,0:01:20-0:01:22,0.000902836,0.000451418
Trial     1,Arena 5,0:01:22-0:01:24,0.000880407,0.000440204
Trial     1,Arena 5,0:01:24-0:01:26,4.51708E-05,2.25854E-05
Trial     1,Arena 5,0:01:26-0:01:28,0.000820463,0.000410231
Trial     1,Arena 5,0:01:28-0:01:30,0.000233325,0.000116662
Trial     1,Arena 5,0:01:30-0:01:32,0.000924214,0.000462107
Trial     1,Arena 5,0:01:32-0:01:34,8.44593E-05,4.22296E-05
Trial     1,Arena 5,0:01:34-0:01:36,0.000741802,0.000370901
Trial     1,Arena 5,0:01:36-0:01:38,0.00111374,0.000556869
Trial     1,Arena 5,0:01:38-0:01:40,9.90325E-05,4.95162E-05
Trial     1,Arena 5,0:01:40-0:01:42,0.00146701,0.000733503
Trial     1,Arena 5,0:01:42-0:01:44,0.000718041,0.000359021
Trial     1,Arena 5,0:01:44-0:01:46,0.00150765,0.000753825
Trial     1,Arena 5,0:01:46-0:01:48,0.00135927,0.000679635
Trial     1,Arena 5,0:01:48-0:01:50,0.00214105,0.00107053
Trial     1,Arena 5,0:01:50-0:01:52,0.00277379,0.00138689
Trial     1,Arena 5,0:01:52-0:01:54,0.00130548,0.000652739
Trial     1,Arena 5,0:01:54-0:01:56,0.00190916,0.000954582
Trial     1,Arena 5,0:01:56-0:01:58,0.0014118,0.000705898
Trial     1,Arena 5,0:01:58-0:02:00,6.52826E-05,3.26413E-05
Trial     1,Arena 5,0:02:00-0:02:02,9.57766E-06,1.91553E-05
Trial     1,Arena 6,0:00:00-0:00:02,7.46489E-06,1.49298E-05
Trial     1,Arena 6,0:00:02-0:00:04,2.39141E-05,0.000011957
Trial     1,Arena 6,0:00:04-0:00:06,2.69292E-05,1.34646E-05
Trial     1,Arena 6,0:00:06-0:00:08,2.85618E-05,1.42809E-05
Trial     1,Arena 6,0:00:08-0:00:10,3.98066E-05,1.99033E-05
Trial     1,Arena 6,0:00:10-0:00:12,0.000176744,8.83721E-05
Trial     1,Arena 6,0:00:12-0:00:14,2.88208E-05,1.44104E-05
Trial     1,Arena 6,0:00:14-0:00:16,7.23036E-05,3.61518E-05
Trial     1,Arena 6,0:00:16-0:00:18,0.000171604,8.58018E-05
Trial     1,Arena 6,0:00:18-0:00:20,0.000202573,0.000101287
Trial     1,Arena 6,0:00:20-0:00:22,0.000267523,0.000133762
Trial     1,Arena 6,0:00:22-0:00:24,0.00013386,6.69302E-05
Trial     1,Arena 6,0:00:24-0:00:26,0.000125925,6.29625E-05
Trial     1,Arena 6,0:00:26-0:00:28,0.000776328,0.000388164
Trial     1,Arena 6,0:00:28-0:00:30,0.00505702,0.00252851
Trial     1,Arena 6,0:00:30-0:00:32,0.000551242,0.000275621
Trial     1,Arena 6,0:00:32-0:00:34,0.000106035,5.30177E-05
Trial     1,Arena 6,0:00:34-0:00:36,0.00180718,0.000903588
Trial     1,Arena 6,0:00:36-0:00:38,0.001325,0.000662498
Trial     1,Arena 6,0:00:38-0:00:40,0.000567106,0.000283553
Trial     1,Arena 6,0:00:40-0:00:42,0.00048177,0.000240885
Trial     1,Arena 6,0:00:42-0:00:44,0.00257119,0.0012856
Trial     1,Arena 6,0:00:44-0:00:46,0.000989295,0.000494647
Trial     1,Arena 6,0:00:46-0:00:48,0.0027341,0.00136705
Trial     1,Arena 6,0:00:48-0:00:50,0.000896411,0.000448205
Trial     1,Arena 6,0:00:50-0:00:52,0.00376524,0.00188262
Trial     1,Arena 6,0:00:52-0:00:54,0.000532917,0.000266458
Trial     1,Arena 6,0:00:54-0:00:56,0.00437136,0.00218568
Trial     1,Arena 6,0:00:56-0:00:58,0.000750035,0.000375018
Trial     1,Arena 6,0:00:58-0:01:00,0.00254424,0.00127212
Trial     1,Arena 6,0:01:00-0:01:02,0.000618334,0.000309167
Trial     1,Arena 6,0:01:02-0:01:04,0.00181246,0.000906229
Trial     1,Arena 6,0:01:04-0:01:06,0.000592303,0.000296151
Trial     1,Arena 6,0:01:06-0:01:08,0.00555758,0.00277879
Trial     1,Arena 6,0:01:08-0:01:10,0.000289591,0.000144795
Trial     1,Arena 6,0:01:10-0:01:12,0.000482685,0.000241342
Trial     1,Arena 6,0:01:12-0:01:14,0.000326813,0.000163407
Trial     1,Arena 6,0:01:14-0:01:16,0.000945065,0.000472532
Trial     1,Arena 6,0:01:16-0:01:18,4.98304E-05,2.49152E-05
Trial     1,Arena 6,0:01:18-0:01:20,5.04005E-05,2.52002E-05
Trial     1,Arena 6,0:01:20-0:01:22,8.11336E-05,4.05668E-05
Trial     1,Arena 6,0:01:22-0:01:24,0.000125205,6.26027E-05
Trial     1,Arena 6,0:01:24-0:01:26,8.85922E-05,4.42961E-05
Trial     1,Arena 6,0:01:26-0:01:28,0.00197637,0.000988187
Trial     1,Arena 6,0:01:28-0:01:30,0.00217984,0.00108992
Trial     1,Arena 6,0:01:30-0:01:32,8.26567E-05,4.13283E-05
Trial     1,Arena 6,0:01:32-0:01:34,7.75816E-05,3.87908E-05
Trial     1,Arena 6,0:01:34-0:01:36,0.00027847,0.000139235
Trial     1,Arena 6,0:01:36-0:01:38,0.000162349,8.11745E-05
Trial     1,Arena 6,0:01:38-0:01:40,0.000178416,0.000089208
Trial     1,Arena 6,0:01:40-0:01:42,5.71166E-05,2.85583E-05
Trial     1,Arena 6,0:01:42-0:01:44,0.00217203,0.00108601
Trial     1,Arena 6,0:01:44-0:01:46,0.000219029,0.000109515
Trial     1,Arena 6,0:01:46-0:01:48,0.00633568,0.00316784
Trial     1,Arena 6,0:01:48-0:01:50,0.000917519,0.00045876
Trial     1,Arena 6,0:01:50-0:01:52,0.000303833,0.000151916
Trial     1,Arena 6,0:01:52-0:01:54,0.000816302,0.000408151
Trial     1,Arena 6,0:01:54-0:01:56,6.30345E-05,3.15172E-05
Trial     1,Arena 6,0:01:56-0:01:58,4.66339E-05,0.000023317
Trial     1,Arena 6,0:01:58-0:02:00,0.000227937,0.000113968
Trial     1,Arena 6,0:02:00-0:02:02,7.57959E-06,1.51592E-05
Trial     1,Arena 7,0:00:00-0:00:02,0.000050598,0.000101196
Trial     1,Arena 7,0:00:02-0:00:04,5.45394E-05,2.72697E-05
Trial     1,Arena 7,0:00:04-0:00:06,0.00227819,0.0011391
Trial     1,Arena 7,0:00:06-0:00:08,0.000101197,5.05984E-05
Trial     1,Arena 7,0:00:08-0:00:10,0.000216155,0.000108077
Trial     1,Arena 7,0:00:10-0:00:12,0.000986574,0.000493287
Trial     1,Arena 7,0:00:12-0:00:14,0.000250916,0.000125458
Trial     1,Arena 7,0:00:14-0:00:16,0.000978997,0.000489498
Trial     1,Arena 7,0:00:16-0:00:18,0.000862909,0.000431454
